User1-Uo,User2-Uo,User3-Uo,User4-Uo,User5-Uo,User6-Uo,Non-daylit Sensor,User1-ill,User2-ill,User3-ill,User4-ill,User5-ill,User6-ill,LightingFraction-Non-daylit,LightingFractionZoneOne,LightingFractionZoneTwo,LightingFractionZoneThree,LightingZoneOne,LightingZoneTwo,LightingZoneThree,User1-Ev,User2-Ev,User3-Ev,User4-Ev,User5-Ev,User6-Ev,U5/6-Ps,U3/4-Ps,U1/2-Ps,ViewU56,ViewU34,ViewU12,DATE,Ps
0.82,0.8,0.86,0.85,0.79,0.38,1355,1451,1535,1617,1620,1362,1373,0.15,0.15,0.15,0.15,1493,1618.5,1367.5,1854,1970,2009,2007,1804,1656,8,4,4,86.44,93.33,93.33,1/1/2020 8:00,Ps844
0.82,0.8,0.86,0.85,0.79,0.37,1567,1716,1817,1909,1916,1609,1626,0.15,0.15,0.15,0.15,1766.5,1912.5,1617.5,2193,2335,2382,2381,2134,1964,8,4,4,86.44,93.33,93.33,1/1/2020 8:20,Ps844
0.81,0.8,0.86,0.85,0.79,0.37,1725,1905,2019,2117,2127,1786,1807,0.15,0.15,0.15,0.15,1962,2122,1796.5,2431,2592,2644,2645,2368,2181,8,4,4,86.44,93.33,93.33,1/1/2020 8:40,Ps844
0.81,0.8,0.86,0.85,0.79,0.37,1861,2076,2202,2305,2319,1944,1972,0.15,0.15,0.15,0.15,2139,2312,1958,2652,2830,2887,2890,2584,2383,8,4,4,86.44,93.33,93.33,1/1/2020 9:00,Ps844
0.81,0.8,0.86,0.85,0.79,0.36,1956,2197,2332,2437,2454,2055,2089,0.15,0.15,0.15,0.15,2264.5,2445.5,2072,2808,3001,3061,3065,2737,2528,8,4,4,86.44,93.33,93.33,1/1/2020 9:20,Ps844
0.81,0.8,0.86,0.85,0.79,0.37,2162,2419,2567,2685,2699,2274,2299,0.15,0.15,0.15,0.15,2493,2692,2286.5,3072,3292,3360,3361,3011,2778,8,4,4,86.44,93.33,93.33,1/1/2020 9:40,Ps844
0.8,0.81,0.86,0.85,0.78,0.35,2007,2305,2415,2540,2533,2140,2183,0.15,0.15,0.15,0.15,2360,2536.5,2161.5,3015,3217,3299,3257,2904,2713,8,4,4,86.44,93.33,93.33,1/1/2020 10:00,Ps844
0.81,0.82,0.86,0.85,0.78,0.35,1876,2156,2255,2376,2366,1998,2041,0.15,0.15,0.15,0.15,2205.5,2371,2019.5,2836,3022,3100,3055,2724,2547,8,4,4,86.44,93.33,93.33,1/1/2020 10:20,Ps844
0.8,0.81,0.86,0.85,0.78,0.34,2552,2990,3134,3292,3286,2772,2840,0.15,0.15,0.15,0.15,3062,3289,2806,3938,4206,4316,4260,3791,3551,8,4,4,86.44,93.33,93.33,1/1/2020 10:40,Ps844
0.79,0.81,0.86,0.85,0.79,0.34,2592,3053,3219,3353,3379,2833,2915,0.15,0.15,0.15,0.15,3136,3366,2874,3989,4293,4390,4360,3877,3635,8,4,4,86.44,93.33,93.33,1/1/2020 11:00,Ps844
0.8,0.81,0.86,0.85,0.8,0.34,1938,2244,2360,2465,2479,2067,2141,0.15,0.15,0.15,0.15,2302,2472,2104,2972,3183,3251,3224,2863,2688,8,4,4,86.44,93.33,93.33,1/1/2020 11:20,Ps844
0.8,0.83,0.87,0.86,0.78,0.34,2102,2469,2570,2717,2699,2272,2338,0.15,0.15,0.15,0.15,2519.5,2708,2305,3303,3514,3611,3544,3151,2958,8,4,4,86.44,93.33,93.33,1/1/2020 11:40,Ps844
0.79,0.82,0.86,0.85,0.78,0.34,2261,2667,2781,2923,2919,2467,2533,0.15,0.15,0.15,0.15,2724,2921,2500,3562,3816,3916,3854,3437,3242,8,4,4,86.44,93.33,93.33,1/1/2020 12:00,Ps844
0.79,0.83,0.86,0.85,0.77,0.34,2184,2567,2666,2814,2798,2376,2429,0.15,0.15,0.15,0.15,2616.5,2806,2402.5,3435,3671,3775,3702,3311,3123,8,4,4,86.44,93.33,93.33,1/1/2020 12:20,Ps844
0.8,0.83,0.87,0.86,0.77,0.34,2092,2469,2562,2717,2692,2268,2334,0.15,0.15,0.15,0.15,2515.5,2704.5,2301,3324,3530,3632,3554,3162,2971,8,4,4,86.44,93.33,93.33,1/1/2020 12:40,Ps844
0.8,0.83,0.87,0.86,0.77,0.34,1949,2289,2374,2519,2494,2103,2162,0.15,0.15,0.15,0.15,2331.5,2506.5,2132.5,3076,3265,3359,3286,2926,2747,8,4,4,86.44,93.33,93.33,1/1/2020 13:00,Ps844
0.8,0.83,0.87,0.86,0.77,0.34,1879,2196,2278,2418,2393,2022,2072,0.15,0.15,0.15,0.15,2237,2405.5,2047,2940,3122,3212,3141,2801,2626,8,4,4,86.44,93.33,93.33,1/1/2020 13:20,Ps844
0.79,0.83,0.86,0.85,0.75,0.34,2268,2657,2726,2923,2862,2477,2476,0.15,0.15,0.15,0.15,2691.5,2892.5,2476.5,3521,3743,3874,3746,3396,3176,8,4,4,86.44,93.33,93.33,1/1/2020 13:40,Ps844
0.8,0.83,0.87,0.85,0.77,0.34,2014,2343,2430,2582,2550,2168,2206,0.15,0.15,0.15,0.15,2386.5,2566,2187,3115,3310,3409,3328,2977,2785,8,4,4,86.44,93.33,93.33,1/1/2020 14:00,Ps844
