ViewU56,ViewU34,ViewU12,U5/6-Ps,U3/4-Ps,U1/2-Ps
34.55,34.58,34.58,0,0,0
93.33,34.58,34.58,0.4,0,0
86.44,34.58,34.58,0.8,0,0
34.55,86.63,34.58,0,0.2,0
86.57,86.63,34.58,0.2,0.2,0
93.33,86.63,34.58,0.4,0.2,0
86.44,86.63,34.58,0.8,0.2,0
34.55,93.33,34.58,0,0.4,0
86.57,93.33,34.58,0.2,0.4,0
93.33,93.33,34.58,0.4,0.4,0
86.44,93.33,34.58,0.8,0.4,0
34.55,86.54,34.58,0,0.8,0
86.57,86.54,34.58,0.2,0.8,0
93.33,86.54,34.58,0.4,0.8,0
86.44,86.54,34.58,0.8,0.8,0
34.55,34.58,86.63,0,0,0.2
86.57,34.58,86.63,0.2,0,0.2
93.33,34.58,86.63,0.4,0,0.2
86.44,34.58,86.63,0.8,0,0.2
34.55,86.63,86.63,0,0.2,0.2
86.57,86.63,86.63,0.2,0.2,0.2
93.33,86.63,86.63,0.4,0.2,0.2
86.44,86.63,86.63,0.8,0.2,0.2
34.55,93.33,86.63,0,0.4,0.2
86.57,93.33,86.63,0.2,0.4,0.2
93.33,93.33,86.63,0.4,0.4,0.2
86.44,93.33,86.63,0.8,0.4,0.2
34.55,86.54,86.63,0,0.8,0.2
86.57,86.54,86.63,0.2,0.8,0.2
93.33,86.54,86.63,0.4,0.8,0.2
86.44,86.54,86.63,0.8,0.8,0.2
34.55,34.58,93.33,0,0,0.4
86.57,34.58,93.33,0.2,0,0.4
93.33,34.58,93.33,0.4,0,0.4
86.44,34.58,93.33,0.8,0,0.4
34.55,86.63,93.33,0,0.2,0.4
86.57,86.63,93.33,0.2,0.2,0.4
93.33,86.63,93.33,0.4,0.2,0.4
86.44,86.63,93.33,0.8,0.2,0.4
34.55,93.33,93.33,0,0.4,0.4
86.57,93.33,93.33,0.2,0.4,0.4
93.33,93.33,93.33,0.4,0.4,0.4
86.44,93.33,93.33,0.8,0.4,0.4
34.55,86.54,93.33,0,0.8,0.4
86.57,86.54,93.33,0.2,0.8,0.4
93.33,86.54,93.33,0.4,0.8,0.4
86.44,86.54,93.33,0.8,0.8,0.4
34.55,34.58,86.54,0,0,0.8
86.57,34.58,86.54,0.2,0,0.8
93.33,34.58,86.54,0.4,0,0.8
86.44,34.58,86.54,0.8,0,0.8
34.55,86.63,86.54,0,0.2,0.8
86.57,86.63,86.54,0.2,0.2,0.8
93.33,86.63,86.54,0.4,0.2,0.8
86.44,86.63,86.54,0.8,0.2,0.8
34.55,93.33,86.54,0,0.4,0.8
86.57,93.33,86.54,0.2,0.4,0.8
93.33,93.33,86.54,0.4,0.4,0.8
86.44,93.33,86.54,0.8,0.4,0.8
34.55,86.54,86.54,0,0.8,0.8
86.57,86.54,86.54,0.2,0.8,0.8
93.33,86.54,86.54,0.4,0.8,0.8
86.44,86.54,86.54,0.8,0.8,0.8
86.57,34.58,34.58,0.2,0,0
