Datetime,dir,dif,
1/1/2020 0:00,0,0,
1/1/2020 0:20,0,0,
1/1/2020 0:40,0,0,
1/1/2020 1:00,0,0,
1/1/2020 1:20,0,0,
1/1/2020 1:40,0,0,
1/1/2020 2:00,0,0,
1/1/2020 2:20,0,0,
1/1/2020 2:40,0,0,
1/1/2020 3:00,0,0,
1/1/2020 3:20,0,0,
1/1/2020 3:40,0,0,
1/1/2020 4:00,0,0,
1/1/2020 4:20,0,0,
1/1/2020 4:40,0,0,
1/1/2020 5:00,0,2,
1/1/2020 5:20,0,13,
1/1/2020 5:40,0,30,
1/1/2020 6:00,17,59,
1/1/2020 6:20,28,89,
1/1/2020 6:40,183,130,
1/1/2020 7:00,152,175,
1/1/2020 7:20,19,193,
1/1/2020 7:40,147,245,
1/1/2020 8:00,100,300,
1/1/2020 8:20,109,329,
1/1/2020 8:40,94,358,
1/1/2020 9:00,107,366,
1/1/2020 9:20,232,387,
1/1/2020 9:40,6,354,
1/1/2020 10:00,3,330,
1/1/2020 10:20,30,481,
1/1/2020 10:40,66,497,
1/1/2020 11:00,24,339,
1/1/2020 11:20,18,402,
1/1/2020 11:40,45,417,
1/1/2020 12:00,65,395,
1/1/2020 12:20,14,411,
1/1/2020 12:40,13,376,
1/1/2020 13:00,23,354,
1/1/2020 13:20,47,416,
1/1/2020 13:40,23,371,
1/1/2020 14:00,50,392,
1/1/2020 14:20,29,356,
1/1/2020 14:40,11,281,
1/1/2020 15:00,12,311,
1/1/2020 15:20,12,311,
1/1/2020 15:40,12,268,
1/1/2020 16:00,13,275,
1/1/2020 16:20,6,202,
1/1/2020 16:40,7,189,
1/1/2020 17:00,0,132,
1/1/2020 17:20,0,133,
1/1/2020 17:40,0,149,
1/1/2020 18:00,0,84,
1/1/2020 18:20,0,48,
1/1/2020 18:40,0,30,
1/1/2020 19:00,0,12,
1/1/2020 19:20,0,3,
1/1/2020 19:40,0,0,
1/1/2020 20:00,0,0,
1/1/2020 20:20,0,0,
1/1/2020 20:40,0,0,
1/1/2020 21:00,0,0,
1/1/2020 21:20,0,0,
1/1/2020 21:40,0,0,
1/1/2020 22:00,0,0,
1/1/2020 22:20,0,0,
1/1/2020 22:40,0,0,
1/1/2020 23:00,0,0,
1/1/2020 23:20,0,0,
1/1/2020 23:40,0,0,
1/2/2020 0:00,0,0,
1/2/2020 0:20,0,0,
1/2/2020 0:40,0,0,
1/2/2020 1:00,0,0,
1/2/2020 1:20,0,0,
1/2/2020 1:40,0,0,
1/2/2020 2:00,0,0,
1/2/2020 2:20,0,0,
1/2/2020 2:40,0,0,
1/2/2020 3:00,0,0,
1/2/2020 3:20,0,0,
1/2/2020 3:40,0,0,
1/2/2020 4:00,0,0,
1/2/2020 4:20,0,0,
1/2/2020 4:40,0,0,
1/2/2020 5:00,0,4,
1/2/2020 5:20,0,18,
1/2/2020 5:40,0,23,
1/2/2020 6:00,30,75,
1/2/2020 6:20,2,63,
1/2/2020 6:40,100,129,
1/2/2020 7:00,14,181,
1/2/2020 7:20,2,166,
1/2/2020 7:40,12,221,
1/2/2020 8:00,4,161,
1/2/2020 8:20,17,239,
1/2/2020 8:40,45,293,
1/2/2020 9:00,31,412,
1/2/2020 9:20,24,343,
1/2/2020 9:40,26,369,
1/2/2020 10:00,198,502,
1/2/2020 10:20,108,483,
1/2/2020 10:40,2,380,
1/2/2020 11:00,122,542,
1/2/2020 11:20,181,504,
1/2/2020 11:40,237,457,
1/2/2020 12:00,49,480,
1/2/2020 12:20,181,537,
1/2/2020 12:40,412,427,
1/2/2020 13:00,54,497,
1/2/2020 13:20,190,481,
1/2/2020 13:40,404,405,
1/2/2020 14:00,184,539,
1/2/2020 14:20,349,600,
1/2/2020 14:40,1,197,
1/2/2020 15:00,51,402,
1/2/2020 15:20,261,360,
1/2/2020 15:40,218,336,
1/2/2020 16:00,148,249,
1/2/2020 16:20,308,397,
1/2/2020 16:40,33,173,
1/2/2020 17:00,30,220,
1/2/2020 17:20,126,195,
1/2/2020 17:40,84,160,
1/2/2020 18:00,5,98,
1/2/2020 18:20,13,85,
1/2/2020 18:40,27,69,
1/2/2020 19:00,0,22,
1/2/2020 19:20,0,5,
1/2/2020 19:40,0,0,
1/2/2020 20:00,0,0,
1/2/2020 20:20,0,0,
1/2/2020 20:40,0,0,
1/2/2020 21:00,0,0,
1/2/2020 21:20,0,0,
1/2/2020 21:40,0,0,
1/2/2020 22:00,0,0,
1/2/2020 22:20,0,0,
1/2/2020 22:40,0,0,
1/2/2020 23:00,0,0,
1/2/2020 23:20,0,0,
1/2/2020 23:40,0,0,
1/3/2020 0:00,0,0,
1/3/2020 0:20,0,0,
1/3/2020 0:40,0,0,
1/3/2020 1:00,0,0,
1/3/2020 1:20,0,0,
1/3/2020 1:40,0,0,
1/3/2020 2:00,0,0,
1/3/2020 2:20,0,0,
1/3/2020 2:40,0,0,
1/3/2020 3:00,0,0,
1/3/2020 3:20,0,0,
1/3/2020 3:40,0,0,
1/3/2020 4:00,0,0,
1/3/2020 4:20,0,0,
1/3/2020 4:40,0,0,
1/3/2020 5:00,0,3,
1/3/2020 5:20,0,6,
1/3/2020 5:40,0,18,
1/3/2020 6:00,0,35,
1/3/2020 6:20,0,74,
1/3/2020 6:40,0,99,
1/3/2020 7:00,0,100,
1/3/2020 7:20,4,173,
1/3/2020 7:40,1,189,
1/3/2020 8:00,3,178,
1/3/2020 8:20,4,232,
1/3/2020 8:40,18,307,
1/3/2020 9:00,33,354,
1/3/2020 9:20,4,320,
1/3/2020 9:40,2,259,
1/3/2020 10:00,12,294,
1/3/2020 10:20,14,357,
1/3/2020 10:40,31,438,
1/3/2020 11:00,45,429,
1/3/2020 11:20,19,387,
1/3/2020 11:40,19,354,
1/3/2020 12:00,44,466,
1/3/2020 12:20,38,478,
1/3/2020 12:40,68,486,
1/3/2020 13:00,160,485,
1/3/2020 13:20,119,458,
1/3/2020 13:40,57,508,
1/3/2020 14:00,16,494,
1/3/2020 14:20,137,513,
1/3/2020 14:40,339,358,
1/3/2020 15:00,204,431,
1/3/2020 15:20,149,408,
1/3/2020 15:40,231,358,
1/3/2020 16:00,329,284,
1/3/2020 16:20,304,262,
1/3/2020 16:40,249,240,
1/3/2020 17:00,127,265,
1/3/2020 17:20,252,198,
1/3/2020 17:40,95,185,
1/3/2020 18:00,73,128,
1/3/2020 18:20,166,97,
1/3/2020 18:40,160,69,
1/3/2020 19:00,0,31,
1/3/2020 19:20,0,11,
1/3/2020 19:40,0,0,
1/3/2020 20:00,0,0,
1/3/2020 20:20,0,0,
1/3/2020 20:40,0,0,
1/3/2020 21:00,0,0,
1/3/2020 21:20,0,0,
1/3/2020 21:40,0,0,
1/3/2020 22:00,0,0,
1/3/2020 22:20,0,0,
1/3/2020 22:40,0,0,
1/3/2020 23:00,0,0,
1/3/2020 23:20,0,0,
1/3/2020 23:40,0,0,
1/4/2020 0:00,0,0,
1/4/2020 0:20,0,0,
1/4/2020 0:40,0,0,
1/4/2020 1:00,0,0,
1/4/2020 1:20,0,0,
1/4/2020 1:40,0,0,
1/4/2020 2:00,0,0,
1/4/2020 2:20,0,0,
1/4/2020 2:40,0,0,
1/4/2020 3:00,0,0,
1/4/2020 3:20,0,0,
1/4/2020 3:40,0,0,
1/4/2020 4:00,0,0,
1/4/2020 4:20,0,0,
1/4/2020 4:40,0,0,
1/4/2020 5:00,0,2,
1/4/2020 5:20,0,9,
1/4/2020 5:40,0,32,
1/4/2020 6:00,18,66,
1/4/2020 6:20,195,107,
1/4/2020 6:40,144,125,
1/4/2020 7:00,212,168,
1/4/2020 7:20,303,190,
1/4/2020 7:40,445,198,
1/4/2020 8:00,749,141,
1/4/2020 8:20,492,229,
1/4/2020 8:40,365,289,
1/4/2020 9:00,472,285,
1/4/2020 9:20,503,297,
1/4/2020 9:40,507,315,
1/4/2020 10:00,169,477,
1/4/2020 10:20,221,481,
1/4/2020 10:40,594,342,
1/4/2020 11:00,525,353,
1/4/2020 11:20,96,461,
1/4/2020 11:40,105,508,
1/4/2020 12:00,628,353,
1/4/2020 12:20,292,535,
1/4/2020 12:40,63,595,
1/4/2020 13:00,200,554,
1/4/2020 13:20,525,394,
1/4/2020 13:40,739,288,
1/4/2020 14:00,626,327,
1/4/2020 14:20,605,323,
1/4/2020 14:40,552,331,
1/4/2020 15:00,578,285,
1/4/2020 15:20,544,277,
